No,Country,Category,Company,Tier,Status,Best Media Contact,Contact Type,Named Contact / Title,Source URL,Confidence,Notes / Ownership & Dedupe Flags
11,Japan,Rice Vinegar,Marukan Vinegar,1,RESEARCHED,https://www.marukan-usa.com/contact/,Web form only,,https://www.marukan-usa.com/contact/,Verified,"No email published. Form + Paramount CA 562-630-6060, Griffin GA 678-408-6530. Broker sites push jivers@marukan-usa.com (Julie Ivers) - that is foodservice SALES, not PR, and is a pattern guess. Do not use."
12,Japan,Rice Vinegar,Mizkan,1,RESEARCHED,Communications@mizkan.com,DEDICATED PRESS EMAIL,Corporate Communications,https://www.mizkan.com/contact/pr-media-relations/,Verified,"BEST HIT SO FAR. Dedicated 'PR & Media Relations' page. Note: search tools return deborah.cross@mizkan.com - that name is NOT on the page, stale broker data. Use Communications@ only."
13,Japan,Rice Vinegar,Uchibori Vinegar,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
14,Japan,Rice Vinegar,Otafuku Sauce,2,RESEARCHED,info@otafukufoods.com,General email,,https://otafukufoods.com/pages/contact,Verified,"No press desk. info@otafukufoods.com + 562.404.4700, Santa Fe Springs CA. US co-manufacturing operation - commercially engaged and reachable."
15,Japan,Nori,Yamamotoyama,1,RESEARCHED,info@yamamotoyama.com,General email,,https://yamamotoyama.com/pages/contact,Verified,"[Also appears under Green Tea - one contact covers both] No press contact. info@ + (800) 800-8327, Pomona CA. Covers BOTH nori and tea categories - one pitch. AI suggested press@yamamotoyama.com - invented, does not exist."
16,Japan,Nori,Takaokaya,2,RESEARCHED,info@takaokayausa.com,General email,,https://www.takaokayausa.com/pages/contact,Verified,"info@takaokayausa.com, 323.269.9810, Vernon CA 90058. Real US entity with its own e-commerce site and H Mart distribution. SoCal-based - easy for Chris to reach or visit. Solid secondary nori target behind Yamamotoyama."
17,Japan,Nori,Shirako Nori,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
18,Japan,Nori,Nagai Nori,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
19,Japan,Nori,Kaneryo Seaweed,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
20,Japan,Whisky,Suntory / House of Suntory,1,RESEARCHED,https://www.suntory.com/newsroom/mediacontact/,Dedicated media page - blocked to automation,,https://www.suntory.com/newsroom/mediacontact/,NEEDS MANUAL - retried twice,"Retried twice, 403 both times - Suntory blocks automated access sitewide. The media contact page definitely EXISTS. Also suntoryglobalspirits.com/contact-us (form, no press option visible) and press releases at suntoryglobalspirits.com/news/press-releases. HIGH PRIORITY manual open - biggest whisky sponsor on the board."
21,Japan,Whisky,Nikka Whisky / Asahi Group,1,RESEARCHED,https://www.asahigroup-holdings.com/en/customer/,Corporate inquiry form,,https://www.nikka.com/en/contact/,Needs manual check,Asahi Group Holdings customer page blocks automated access (403). Asahi corporate site reportedly has a media-inquiry route separate from consumer - worth one manual open. Also nikkawhiskyusa.com exists for US.
22,Japan,Whisky,Mars Whisky / Hombo Shuzo,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
23,Japan,Whisky,Chichibu / Venture Whisky,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
24,Japan,Whisky,Kanosuke Distillery,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
25,Japan,Sake,Gekkeikan,1,RESEARCHED,+1 (916) 293-7040,Phone only,,https://us.gekkeikan.com/contact/,Verified,"No email on contact page. Address 1136 Sibley St, Folsom CA 95630. AI search returns support@gekkeikan-sake.com - NOT printed on their site, treat as unverified."
26,Japan,Sake,Ozeki,2,RESEARCHED,(831) 637-9217,Phone only,,https://www.dnb.com/business-directory/company-profiles.ozeki_sake_(usa)_inc.4c3c212a29a18e076cd8e3038ce48fa7.html,Verified - no press desk,"No press or general email published. 249 Hillcrest Rd, Hollister CA 95023, (831) 637-9217 / (831) 637-0953. Broker pattern jdoe@ozekisake.com is a guess - do not use. Phone is the only real route."
27,Japan,Sake,Dassai / Asahi Shuzo,1,RESEARCHED,press@dassai.com,LIKELY DEDICATED PRESS EMAIL,,https://dassai-blue.com/pages/contact,NEEDS MANUAL CONFIRM,"press@dassai.com reported consistently across multiple independent sources incl. an EIN Presswire release. Could NOT confirm on-page - dassai-blue.com returned 429 rate-limit and the wire release 403. Sister addresses reported: sales@dassai.com, info@dassai.com. HIGH PRIORITY manual verify - if real this is a top-tier hit. US entity: DASSAI USA INC, 5 St Andrews Rd, Hyde Park NY 12538."
28,Japan,Sake,Hakkaisan,2,RESEARCHED,press@hakkaisan.co.jp,DEDICATED PRESS EMAIL,Kozue Hamasaki (PR Dept); Shinsuke Sasagawa / Shoko Baba (Intl Mktg - ENGLISH),https://www.hakkaisan.com/,Needs manual confirm,"STRONG - a real press@ address plus NAMED PR staff, including two people specifically for ENGLISH-language inquiries (Sasagawa / Baba, International Marketing) which is exactly who Chris wants. Tokyo office 03-6264-3366, 4-5-9 Tsukiji, Chuo-ku. NOTE hakkaisanusa.com does NOT resolve - US arm operates via Brooklyn Kura partnership."
29,Japan,Sake,Kubota / Asahi Shuzo (Niigata),3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"[Different company from Dassai despite same English name] Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
30,Japan,Green Tea,ITO EN,1,RESEARCHED,customerservice@itoen.com,General email,,https://itoen.com/pages/contact-us,Verified,"No press contact published. customerservice@ + 888-832-7832. US office 1320 Greenway Dr Suite 700, Irving TX 75038."
31,Japan,Green Tea,Sugimoto Tea Company,2,RESEARCHED,https://www.sugimotousa.com/contact,Web form,,https://www.sugimotousa.com/contact,Needs manual confirm,"No press contact found. Form + 8661 154th Ave NE Bldg P Ste 110, Redmond WA 98052. Small family company - a direct note via the form will likely reach a decision-maker. Separate wholesale site at wholesale.sugimotousa.com."
32,Japan,Green Tea,Aiya / Aiya America,2,RESEARCHED,Media email on PR Newswire release - masked,Press-release media contact,,https://www.prnewswire.com/news-releases/aiya-matcha-launches-matcha-infused-tea-line-301463474.html,Needs browser to reveal,Aiya issues its own PR Newswire releases with a media contact block - phone (310) 212-1395 is visible but PR Newswire MASKS the email against scrapers. Opening the release in a browser reveals it. 2 min manual job. Global offices page: aiya-america.com/global-offices.
33,Japan,Green Tea,Maeda-en,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
34,Japan,Snacks,Calbee,1,RESEARCHED,info@calbeena.com,General email,,https://calbeena.com/,Needs manual confirm,"No press desk found. info@calbeena.com + 662-612-7000, 795 Shands Bottom Rd, Senatobia MS 38668. Note that is a PLANT address - Calbee's US marketing sits elsewhere. Japan parent posts news at calbee.co.jp/en/news."
35,Japan,Snacks,Ezaki Glico (Pocky),1,RESEARCHED,https://glicostore.com/pages/contact,Web form only,,https://glicostore.com/pages/contact,Verified,Has a press page (glicostore.com/pages/press) but it shows coverage only - NO press contact on it. Form only. Corp office Irvine CA (949) 251-0144.
36,Japan,Snacks,Morinaga (HI-CHEW),2,RESEARCHED,media@morinaga-america.com,Press-release media contact,Mike Cline,https://morinaga-america.com/news-media/,Needs manual confirm - possibly stale,"media@morinaga-america.com + Mike Cline 951-217-6464 comes from a GlobeNewswire release (2016) - a legitimate primary source but NINE YEARS OLD, Cline may have moved on. The address itself likely still routes. Their own contact page lists only info@morinaga-america.com, 949-732-1155, 4 Park Plaza Ste 750 Irvine CA. Try media@ first, fall back to info@."
37,Japan,Snacks,Meiji,2,RESEARCHED,kalehmanpr@gmail.com,DEDICATED PRESS CONTACT - named,Kim Lehman (PR),https://meijiamerica.com/pages/media-center,Verified,"CONFIRMED on their Media Center page. Kim Lehman, kalehmanpr@gmail.com, 1.866.950.6020. Gmail with 'pr' in it = likely freelance publicist rather than in-house, which usually means FASTER replies. Page explicitly offers interviews, hi-res packaging, product photography and b-roll - directly useful for a documentary. One of the best targets on the whole board."
38,Japan,Snacks,Koikeya,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
39,China,Soy Sauce,Lee Kum Kee,1,RESEARCHED,Contact@LKKUSA.com,General email + media form option,,https://usa.lkk.com/en/about-lkk/contact-us,Verified,"[Also covers Oyster Sauce] Contact form has a dedicated 'Media Enquiry' subject option - use the FORM not the general email, it routes to the right desk. Phone (800) 654-5082."
40,China,Soy Sauce,Pearl River Bridge,1,RESEARCHED,customer@prb.cn,General email,,https://www.pearlriverbridge.com/contact-us,Verified,[Also covers Oyster Sauce] No US contact and no press desk. customer@prb.cn + WhatsApp +8615622720482 (Guangzhou). WhatsApp may actually be the better route here given Chris is in Asia right now.
41,China,Soy Sauce,Haitian / Haday,1,RESEARCHED,htpp@haday.cn,DEDICATED MEDIA DESK - Haday Brand Center,Haday Brand Center,https://www.haday.com/en/contact-us/,Verified,"[Also covers Oyster Sauce] BEST CHINA TARGET. Page states verbatim: 'Warmly welcome media friends to interview Haday... If you need to come for an interview or to attend various activities at Haitian please contact us.' That is an OPEN INVITATION FOR ON-SITE FILMING. Brand Center: htpp@haday.cn, tel 86-757-82817307. Other desks: export@haday.cn, htservice@haday.cn. Foshan, Guangdong. Claims world No.1 soy AND oyster sauce by 2024 volume - covers both categories in one pitch."
42,China,Soy Sauce,Qianhe,2,RESEARCHED,inquiry@qianhefood.com,General + named export contact,land.chen@qianhefood.com,https://en.qianhefood.com/about-us/,Needs manual confirm,"[Also covers Oyster Sauce and Vinegar] inquiry@qianhefood.com plus a NAMED contact land.chen@qianhefood.com (English-styled name = likely their export/international person, good sign). +86 2838568229, Meishan, Sichuan. English site at en.qianhefood.com. Covers soy + oyster + vinegar in one pitch. Known for zero-additive positioning - a clean story angle."
43,China,Soy Sauce,Amoy,2,RESEARCHED,info@amoy.com,General email,,https://www.amoy.com/en/contact-us,Needs manual confirm,"[Also covers Oyster Sauce] CAUTION: directories print it as info@WWW.amoy.com which is malformed - the real address is almost certainly info@amoy.com. Verify before sending. (852) 2665 6633, 11-15 Dai Fu St, Tai Po Industrial Estate, Tai Po NT, Hong Kong. CHRIS IS IN HONG KONG - Tai Po is reachable, a call beats email. Now under CITIC group."
44,China,Vinegar,Hengshun,1,RESEARCHED,hengshun@zjhengshun.com,General email,,https://www.investing.com/equities/hengshun-vineg-company-profile,Needs manual confirm,"Founded 1840, SSE-listed (600305). hengshun@zjhengshun.com + 0511-85233758. No press desk found and no English-language media route. No.66 Hengshun Ave, Dantu New Town, Zhenjiang 212028. Note Zhenjiang has a Vinegar Industry Park with a museum - a likelier filming access point than corporate PR."
45,China,Vinegar,Gold Plum / Jinshan,2,RESEARCHED,zhanghui@jcof.com,Named export contact,Zhang Hui - Jiangsu Cereals Oils & Foodstuff I/E Group,https://www.jscof.com/product/2209000000-JM-ZJXC/,Needs manual confirm,"CAUTION - DOMAIN MISMATCH: listed email is zhanghui@JCOF.com but the company website is JSCOF.com. One of the two is wrong; verify before sending or it bounces. Manufacturer/exporter is Jiangsu Cereals, Oils & Foodstuff Import & Export Group Corp, Nanjing. Gold Plum is a geographical-indication Zhenjiang product - same city as Hengshun, so both vinegar targets are filmable in one trip."
46,China,Vinegar,Donghu,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
47,China,Vinegar,Shuita,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
48,China,Rice,Shiyue Daotian,1,RESEARCHED,SYDT123@shiyuedaotian.com,General email,,https://en.shiyuedaotian.com/ContactStd.html,Needs manual confirm,"SYDT123@shiyuedaotian.com, (400)0188975. HKEX-listed (9676). English site exists at en.shiyuedaotian.com which is a good sign for foreign inquiries. This is the Wuchang rice story Chris wanted - the strongest China rice target."
49,China,Rice,Beidahuang,2,RESEARCHED,trade@beidahuang.cc,International trade desk,NONGKEN (Dalian) International Trade Co,http://www.beidahuang.cc/index.asp?lg=en,Needs manual confirm,"USE trade@beidahuang.cc via NONGKEN (Dalian) International Trade Co, 0411-83702588 - their dedicated international division with an English site. CAUTION: the other listed address guojimaoyi@BEIBAhuang.cc is misspelled (beiba vs beida) - likely a directory typo, do not use. Parent: Heilongjiang Beidahuang Rice Industry Group, 207 Changjiang Rd, Harbin. This is China's northeast grain-country story."
50,China,Rice,COFCO / Fortune,2,RESEARCHED,cofco-news@cofco.com,DEDICATED MEDIA EMAIL,COFCO Media Contact,https://www.cofco.com/en/News/Media/ContactUs/,Verified,"VERIFIED dedicated media desk: cofco-news@cofco.com, tel 18601067788. COVERS TWO TARGETS AT ONCE - COFCO owns both China Tea/Zhongcha AND Fortune rice, so one email reaches both categories. Also a separate China Tea intl trading contact gongna@cofco.com, +86(10)85018130. COFCO Fortune Plaza, No.8 Chaoyangmen South Ave, Beijing. State-owned and image-conscious - realistic sponsor."
51,China,Rice,Jinlongyu / Arowana,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"[Owned by Yihai Kerry/Wilmar - flag ownership] Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
52,China,Rice,Yangguang 100 / Sunshine 100,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
53,China,Mooncakes,Kee Wah Bakery,1,RESEARCHED,tellme@keewah.com,General email,,https://keewah.com/en/contact,Needs manual confirm,"US sites 429'd on automated access. Reported: tellme@keewah.com (HK/global), contact@keewahsf.com (SF Bay Area). US corporate 1010 S Baldwin Ave, Arcadia CA. Chris is in SoCal - Arcadia office is a walk-in/phone option."
54,China,Mooncakes,Wing Wah,1,RESEARCHED,wingwah@wingwah.com,Main office email,,https://www.wingwah.com/en/contact-us/,Verified,"USE wingwah@wingwah.com (main office, (852) 2477 9831) NOT customer.service@ - main office is likelier to route a sponsorship approach. No separate press desk. Office 5/F Flourish Food Manufactory Centre, 18 Tai Lee St, Yuen Long NT. CHRIS IS IN HONG KONG RIGHT NOW - they have retail stores and an HK Airport outlet; a walk-in or direct call beats a cold email here. Site also has a Press Releases section and TV Commercials page - they are media-active."
55,China,Mooncakes,Maxim's / Mei-Xin,2,RESEARCHED,https://www.maxims.com.hk/en/brands/productsandgifting,No press contact found,,https://www.maxims.com.hk/en/brands/productsandgifting,Needs manual check,"No press or media contact surfaced. Maxim's Group is HK's largest bakery chain (170+ stores). CHRIS IS IN HONG KONG - corporate HQ visit or store-level ask for the marketing dept is more practical than email. Lower priority than Kee Wah and Wing Wah, which both have clearer routes."
56,China,Mooncakes,Guangzhou Restaurant / Likoufu,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
57,China,Mooncakes,Daoxiangcun,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
58,China,Snacks,Want Want,1,RESEARCHED,investor@want-want.com,Investor relations only,,https://www.want-want.com/en/investor/contact,Verified,"NO media/press contact published anywhere. Only investor@want-want.com and dealer wwkf@want-want.com. Offices Shanghai +86 021-61151111, HK +852 2730-7780, Singapore. Media would have to route via IR."
59,China,Snacks,White Rabbit / Bright Food,1,RESEARCHED,No press contact found,None found,,https://en.wikipedia.org/wiki/White_Rabbit_(candy),Verified - none published,"NO press or media contact published in English for Shanghai Guan Sheng Yuan or parent Bright Food Group. Iconic brand (since 1943) with heavy Western press interest (CNN feature) but no inbound media route. Would need a Shanghai-based fixer or an approach via Bright Food corporate. Great story, hard access - set expectations."
60,China,Snacks,Weilong,1,RESEARCHED,9985-ecom@hk.tricorglobal.com,Share registrar only - NOT media,,https://www.alphaspread.com/security/hkex/9985/investor-relations,Verified - no media route,"HKEX-listed (9985). The ONLY published contact is their Hong Kong share registrar Tricor Investor Services, (852) 2980 1333 - that is an investor/shareholder desk, NOT press, and will not route a sponsorship pitch. No media contact exists publicly. Deprioritize."
61,China,Snacks,Three Squirrels,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
62,China,Snacks,Bestore / Liangpin Puzi,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
63,China,Baijiu,Kweichow Moutai,1,RESEARCHED,info@moutai.be,Reported comms team email,MOUTAI Communications Team,http://maotai.gr/contact/,Needs manual confirm,info@moutai.be attributed to 'MOUTAI Communications Team' (.be = their Europe entity). Could not confirm on-page. They DO run a real press office at maotai.pressat.co.uk but its contact block renders empty to automated tools. No US press desk found. Realistically a hard sponsor to reach cold.
64,China,Baijiu,Wuliangye,1,RESEARCHED,info@wuliangye.be,Europe office - Western-facing route,Zhangyuxia (press contact name),https://www.wuliangye.be/contact/,Needs manual confirm,"BEST ROUTE IS EUROPE not China: Wuliangye Europe c/o Kubo Supply nv, Mexicostraat 5, 2030 Antwerpen, Belgium, +32 (0)3 545 95 56, info@wuliangye.be / info@kubo.be. English-speaking and used to Western inquiries. A press contact name Zhangyuxia surfaced but with no readable address. They do global PR via Xinhua Silk Road and appeared at APEC 2025 - image-conscious and sponsorship-friendly."
65,China,Baijiu,Luzhou Laojiao,2,RESEARCHED,48/F COSCO Tower Queens Rd Central Hong Kong,HK international office - no email found,,https://panjiva.com/Luzhou-Laojiao-International-Development/15430151,Needs manual check,"No email published. BUT their international arm Luzhou Laojiao International Development (HK) is at 48/F COSCO Tower, Queens Rd Central, HONG KONG - where Chris is right now. That HK office is the English-facing entity and a walk-in/call is far more practical than emailing Sichuan. Global site: lzljglobal.com."
66,China,Baijiu,Fenjiu / Shanxi Xinghuacun,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
67,China,Baijiu,Yanghe,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
68,China,Tea,China Tea / Zhongcha,2,RESEARCHED,cofco-news@cofco.com,DEDICATED MEDIA EMAIL,COFCO Media Contact,https://www.cofco.com/en/News/Media/ContactUs/,Verified,"VERIFIED dedicated media desk: cofco-news@cofco.com, tel 18601067788. COVERS TWO TARGETS AT ONCE - COFCO owns both China Tea/Zhongcha AND Fortune rice, so one email reaches both categories. Also a separate China Tea intl trading contact gongna@cofco.com, +86(10)85018130. COFCO Fortune Plaza, No.8 Chaoyangmen South Ave, Beijing. State-owned and image-conscious - realistic sponsor."
69,China,Tea,Bama Tea,1,RESEARCHED,https://en.int-bamatea.com/about_us,English site - no email surfaced,,https://en.int-bamatea.com/about_us,Needs manual check,"No email found. HKEX-listed (6980). 3002 Dongmen South Rd, Shenzhen. They DO maintain a dedicated English international site (en.int-bamatea.com) which implies an export/intl desk - check that site's contact page manually."
70,China,Tea,Wuyutai,1,RESEARCHED,No contact found,None found,,https://english.visitbeijing.com.cn/article/47ONtPnAZvu,Verified - none published,"NO email or corporate contact published in English. Founded 1887, Dongcheng District Beijing, famous for jasmine tea. Their Wangfujing flagship store is a listed Beijing tourist attraction - in-person at the shop is realistically the only route. Great story (150-year-old Beijing jasmine house), effectively zero cold-outreach path. Set expectations."
71,China,Tea,Zhang Yiyuan,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
72,China,Tea,Tenfu / Ten Fu,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
73,China,Tea,HEYTEA,1,RESEARCHED,No press contact found,None found,,https://insp-partner.heytea.com/,Verified - none published,"NO press or media contact published for US operations. US expansion runs through Renaud Consulting (real estate/franchise partnerships, NOT media). Facebook @heyteausa is realistically the only inbound route. Deprioritize - hard to reach, and least heritage-relevant of the tea targets anyway."
74,Vietnam,Chili Sauce,CHIN-SU / Masan Consumer,1,RESEARCHED,https://www.masangroup.com/contact-us.html,DEDICATED MEDIA RELATIONS DESK - address obfuscated,Media Relations,https://www.masangroup.com/contact-us.html,Confirmed exists / needs browser to reveal,"[Also covers Fish Sauce and Oyster Sauce] CONFIRMED dedicated 'Media' section for journalists - page says email with your contact info and deadline. Address is Cloudflare-scrambled so automated tools cannot read it; opening the page in a normal browser reveals it. HIGH PRIORITY manual step - 2 min job. Separate IR and Brands addresses also listed. HQ +84 28 6256 3862. Covers CHIN-SU across chili/fish/oyster - one pitch, three categories."
75,Vietnam,Chili Sauce,Cholimex Food,2,RESEARCHED,cholimexfood@cholimexfood.com.vn,General email,Nguyen Lam - Manager Export Marketing,https://cholimexfood.com.vn/contact-us/,Verified,"[Also covers Oyster Sauce] cholimexfood@cholimexfood.com.vn, Tel (+8428) 3765 3389/90/91, Hotline (+8428) 3765 5038 (also the International Business Dept line - best route for a foreign inquiry). Named contact Nguyen Lam, Manager Export Marketing - ask for them by name. Vinh Loc Industrial Park, HCMC."
76,Vietnam,Chili Sauce,Nam Duong,2,RESEARCHED,https://www.namduong.com.vn/index-lang=en.html,No direct email found - distributors only,,https://www.namduong.com.vn/index-lang=en.html,Needs manual check,"[Also covers Oyster Sauce] No corporate email surfaced. Est. 1951. Plot C20a-3 St No.14, Hiep Phuoc Industrial Park, HCMC. English site exists. Reachable via distributors: Davico Vina david@davico.vn / WhatsApp +84979579477, and Vifotex vifotexco@gmail.com / +84 912 108 001. Their soy sauce is now officially exported to the US - a live US-market story."
77,Vietnam,Chili Sauce,Dh Foods,3,"NOT RESEARCHED - Tier 3, outside Option C",,,,,,"Tier 3 - not included in Option C. Available as a Tier 3 add-on (42 companies, ~17 hrs, $119). Recommend holding until the Option C outreach shows which categories reply."
78,Vietnam,Chili Sauce,VIFON,1,RESEARCHED,export@vifon.com.vn,Export desk (best route),,https://vifon.com.vn/en/contact.html,Verified,"[Also covers Noodles and Vinegar] USE export@vifon.com.vn (+8428 38 153 933 ext 134). WARNING: their own site prints the general address as vifon@VION.com.vn - that is a TYPO ON THEIR OWN WEBSITE (vion vs vifon). Do not copy it, it will bounce. A US arm exists at vifonusa.com and a UK arm at vifon.co.uk - worth checking vifonusa for a closer contact. Covers noodles + chili + vinegar in one pitch."
79,Vietnam,Fish Sauce,Red Boat Fish Sauce,1,RESEARCHED,sales@redboatfishsauce.com,General email,,https://redboatfishsauce.com/pages/contact,Verified,"Has a press page (redboatfishsauce.com/pages/press) but it lists coverage only - no press email. sales@ is the only US-facing address. Small family co, likely reads it directly."
