Company,Country,Category,Website,Best Media Contact,Contact Type,Named Contact / Title,Source URL,Confidence,Notes
Trung Nguyen Legend,Vietnam,Coffee,trungnguyenlegend.us,https://trungnguyenlegend.us/,US distributor - Tango Global Market Inc,,https://trungnguyenlegend.us/,Needs manual check,"US site is operated by TANGO GLOBAL MARKET INC, a distributor - not Trung Nguyen corporate. Press releases go out via NewMediaWire. Portland OR +1 971-353-1365. Corporate PR sits in Vietnam - flag that pitching the US distributor may not reach the sponsor decision-maker."
Masan Group / CHIN-SU,Vietnam,Chili + Fish + Oyster Sauce,masangroup.com,https://www.masangroup.com/contact-us.html,DEDICATED MEDIA RELATIONS DESK - address obfuscated,Media Relations,https://www.masangroup.com/contact-us.html,Confirmed exists / needs browser to reveal,"CONFIRMED dedicated 'Media' section for journalists - page says email with your contact info and deadline. Address is Cloudflare-scrambled so automated tools cannot read it; opening the page in a normal browser reveals it. HIGH PRIORITY manual step - 2 min job. Separate IR and Brands addresses also listed. HQ +84 28 6256 3862. Covers CHIN-SU across chili/fish/oyster - one pitch, three categories."
Kweichow Moutai,China,Baijiu,maotai.gr / moutai.be,info@moutai.be,Reported comms team email,MOUTAI Communications Team,http://maotai.gr/contact/,Needs manual confirm,"info@moutai.be attributed to 'MOUTAI Communications Team' (.be = their Europe entity). Could not confirm on-page. They DO run a real press office at maotai.pressat.co.uk but its contact block renders empty to automated tools. No US press desk found. Realistically a hard sponsor to reach cold."
Want Want China Holdings,China,Snacks,want-want.com,investor@want-want.com,Investor relations only,,https://www.want-want.com/en/investor/contact,Verified,"NO media/press contact published anywhere. Only investor@want-want.com and dealer wwkf@want-want.com. Offices Shanghai +86 021-61151111, HK +852 2730-7780, Singapore. Media would have to route via IR."
Calbee North America,Japan,Snacks,calbeena.com,info@calbeena.com,General email,,https://calbeena.com/,Needs manual confirm,"No press desk found. info@calbeena.com + 662-612-7000, 795 Shands Bottom Rd, Senatobia MS 38668. Note that is a PLANT address - Calbee's US marketing sits elsewhere. Japan parent posts news at calbee.co.jp/en/news."
Vinamilk (Ong Tho),Vietnam,Condensed Milk,vinamilk.com.vn,lltanh@vinamilk.com,NAMED MEDIA CONTACT,Ms. Le Thanh Lan Anh - Media,https://www.vinamilk.com.vn/en/investor/contact,Needs manual confirm,"STRONG LEAD - a NAMED media contact with direct extension: Ms. Le Thanh Lan Anh, lltanh@vinamilk.com, +84-28-54-155-555 ext 108219. Separately Head of IR dqtrung@vinamilk.com ext 108247. Page 403'd on automated access so confirm in a browser, but the extension-level detail suggests real listing data. Ong Tho + Southern Star are BOTH Vinamilk - one pitch only."
King Coffee (TNI),Vietnam,Coffee,us.kingcoffee.com,https://us.kingcoffee.com/pages/contact-us,Web form / general,,https://us.kingcoffee.com/pages/contact-us,Needs manual confirm,"US entity King Coffee USA Inc, 10741 Walker St Ste 200, Cypress CA 90630, (949) 215-1158. Site 429'd. Contact page covers orders/product/franchise - no press route seen. Cypress CA is close to Chris in SoCal."
HEYTEA,China,Modern Tea,heytea.com,No press contact found,None found,,https://insp-partner.heytea.com/,Verified - none published,"NO press or media contact published for US operations. US expansion runs through Renaud Consulting (real estate/franchise partnerships, NOT media). Facebook @heyteausa is realistically the only inbound route. Deprioritize - hard to reach, and least heritage-relevant of the tea targets anyway."
Suntory / House of Suntory,Japan,Whisky,suntory.com,https://www.suntory.com/newsroom/mediacontact/,Dedicated media page - blocked to automation,,https://www.suntory.com/newsroom/mediacontact/,NEEDS MANUAL - retried twice,"Retried twice, 403 both times - Suntory blocks automated access sitewide. The media contact page definitely EXISTS. Also suntoryglobalspirits.com/contact-us (form, no press option visible) and press releases at suntoryglobalspirits.com/news/press-releases. HIGH PRIORITY manual open - biggest whisky sponsor on the board."
Meiji America,Japan,Snacks,meijiamerica.com,kalehmanpr@gmail.com,DEDICATED PRESS CONTACT - named,Kim Lehman (PR),https://meijiamerica.com/pages/media-center,Verified,"CONFIRMED on their Media Center page. Kim Lehman, kalehmanpr@gmail.com, 1.866.950.6020. Gmail with 'pr' in it = likely freelance publicist rather than in-house, which usually means FASTER replies. Page explicitly offers interviews, hi-res packaging, product photography and b-roll - directly useful for a documentary. One of the best targets on the whole board."
Morinaga America (HI-CHEW),Japan,Snacks,morinaga-america.com,media@morinaga-america.com,Press-release media contact,Mike Cline,https://morinaga-america.com/news-media/,Needs manual confirm - possibly stale,"media@morinaga-america.com + Mike Cline 951-217-6464 comes from a GlobeNewswire release (2016) - a legitimate primary source but NINE YEARS OLD, Cline may have moved on. The address itself likely still routes. Their own contact page lists only info@morinaga-america.com, 949-732-1155, 4 Park Plaza Ste 750 Irvine CA. Try media@ first, fall back to info@."
Yamasa Corporation USA,Japan,Soy Sauce,yamasausa.com,https://www.yamasausa.com/contact,Web form / call request,,https://www.yamasausa.com/contact,Verified - no press desk,"No press contact. Form + (503) 363-8550, 3500 Fairview Industrial Dr SE, Salem OR 97302. Broker email pattern last@yamasa.com is a GUESS - do not use. Note: Salem OR brewery is the 'Japanese craft made in Oregon' story Chris flagged - worth a phone call to the plant."
Ozeki Sake (U.S.A.),Japan,Sake,ozekisake.com,(831) 637-9217,Phone only,,https://www.dnb.com/business-directory/company-profiles.ozeki_sake_(usa)_inc.4c3c212a29a18e076cd8e3038ce48fa7.html,Verified - no press desk,"No press or general email published. 249 Hillcrest Rd, Hollister CA 95023, (831) 637-9217 / (831) 637-0953. Broker pattern jdoe@ozekisake.com is a guess - do not use. Phone is the only real route."
Sugimoto Tea Company,Japan,Green Tea,sugimotousa.com,https://www.sugimotousa.com/contact,Web form,,https://www.sugimotousa.com/contact,Needs manual confirm,"No press contact found. Form + 8661 154th Ave NE Bldg P Ste 110, Redmond WA 98052. Small family company - a direct note via the form will likely reach a decision-maker. Separate wholesale site at wholesale.sugimotousa.com."
Hakkaisan Brewery,Japan,Sake,hakkaisan.com,press@hakkaisan.co.jp,DEDICATED PRESS EMAIL,Kozue Hamasaki (PR Dept); Shinsuke Sasagawa / Shoko Baba (Intl Mktg - ENGLISH),https://www.hakkaisan.com/,Needs manual confirm,"STRONG - a real press@ address plus NAMED PR staff, including two people specifically for ENGLISH-language inquiries (Sasagawa / Baba, International Marketing) which is exactly who Chris wants. Tokyo office 03-6264-3366, 4-5-9 Tsukiji, Chuo-ku. NOTE hakkaisanusa.com does NOT resolve - US arm operates via Brooklyn Kura partnership."
Aiya America (Matcha),Japan,Green Tea,aiya-america.com,Media email on PR Newswire release - masked,Press-release media contact,,https://www.prnewswire.com/news-releases/aiya-matcha-launches-matcha-infused-tea-line-301463474.html,Needs browser to reveal,"Aiya issues its own PR Newswire releases with a media contact block - phone (310) 212-1395 is visible but PR Newswire MASKS the email against scrapers. Opening the release in a browser reveals it. 2 min manual job. Global offices page: aiya-america.com/global-offices."
Otafuku Foods USA,Japan,Rice Vinegar/Sauce,otafukufoods.com,info@otafukufoods.com,General email,,https://otafukufoods.com/pages/contact,Verified,"No press desk. info@otafukufoods.com + 562.404.4700, Santa Fe Springs CA. US co-manufacturing operation - commercially engaged and reachable."
VIFON,Vietnam,Noodles + Chili + Vinegar,vifon.com.vn,export@vifon.com.vn,Export desk (best route),,https://vifon.com.vn/en/contact.html,Verified,"USE export@vifon.com.vn (+8428 38 153 933 ext 134). WARNING: their own site prints the general address as vifon@VION.com.vn - that is a TYPO ON THEIR OWN WEBSITE (vion vs vifon). Do not copy it, it will bounce. A US arm exists at vifonusa.com and a UK arm at vifon.co.uk - worth checking vifonusa for a closer contact. Covers noodles + chili + vinegar in one pitch."
Song Cai Distillery,Vietnam,Alcohol/Spirits,songcaidistillery.com,hello@songcaidistillery.com,General email - founder-led,Daniel Nguyen (founder),https://www.songcaidistillery.com/contact,Verified,"Small founder-led craft distillery - hello@ very likely reaches Daniel Nguyen directly. They maintain a press-and-awards page and have given founder interviews (The Gin Guide), so they are media-receptive. US distribution via Skurnik Wines & Spirits - Skurnik's PR desk is a second route. One of the most documentary-friendly targets on the Vietnam board."
SABECO / Bia Saigon,Vietnam,Alcohol/Beer,sabeco.com.vn,https://www.sabeco.com.vn/en-US/contact,Web form,Toan Nguyen - Head of Media Digital & Advocacy,https://www.sabeco.com.vn/en-US/contact,Needs manual confirm,"A named media role EXISTS - Toan Nguyen, Manager/Head of Media, Digital & Advocacy. No published address; broker email patterns are GUESSES, do not use. Route via the contact form and ask for Toan Nguyen by name. 06 Hai Ba Trung St, District 1, HCMC, +84 (8) 38294083."
Haitian / Haday,China,Soy + Oyster Sauce,haday.com,htpp@haday.cn,DEDICATED MEDIA DESK - Haday Brand Center,Haday Brand Center,https://www.haday.com/en/contact-us/,Verified,"BEST CHINA TARGET. Page states verbatim: 'Warmly welcome media friends to interview Haday... If you need to come for an interview or to attend various activities at Haitian please contact us.' That is an OPEN INVITATION FOR ON-SITE FILMING. Brand Center: htpp@haday.cn, tel 86-757-82817307. Other desks: export@haday.cn, htservice@haday.cn. Foshan, Guangdong. Claims world No.1 soy AND oyster sauce by 2024 volume - covers both categories in one pitch."
Acecook Vietnam,Vietnam,Noodles,acecookvietnam.vn,https://acecookvietnam.vn/en/media/,Media section on site,Mr. Nguyen Huu Tuong Quan - Senior Specialist,https://acecookvietnam.vn/en/media/,Needs manual confirm,"They run a real /en/media/ section publishing their own press releases. Named press contact Mr. Nguyen Huu Tuong Quan, Senior Specialist, 0918190207 / 028 38154064. Their contact URL 404'd on automated access - navigate from acecookvietnam.vn/en/media/ instead. Broker email pattern is a guess, do not use."
Vinamit,Vietnam,Snacks,vinamit.com,Export hotline +84 902 539 976,Phone / masked email,,https://www.yellowpages.com.vn/listings/1187676699/cong-ty-co-phan-vinamit.html,Needs manual confirm,"No press desk found. HQ 84 Nguyen Du St, District 1 HCMC, (84-8) 38244204. Factory Binh Duong +84 274 356 0273. Dedicated EXPORT hotline +84 902 539 976 is the most promising route for a foreign inquiry. Directory email was masked - check vinamit.com directly."
Wing Wah Cake Shop,China,Mooncakes,wingwah.com,wingwah@wingwah.com,Main office email,,https://www.wingwah.com/en/contact-us/,Verified,"USE wingwah@wingwah.com (main office, (852) 2477 9831) NOT customer.service@ - main office is likelier to route a sponsorship approach. No separate press desk. Office 5/F Flourish Food Manufactory Centre, 18 Tai Lee St, Yuen Long NT. CHRIS IS IN HONG KONG RIGHT NOW - they have retail stores and an HK Airport outlet; a walk-in or direct call beats a cold email here. Site also has a Press Releases section and TV Commercials page - they are media-active."
Hengshun,China,Vinegar,zjhengshun.com,hengshun@zjhengshun.com,General email,,https://www.investing.com/equities/hengshun-vineg-company-profile,Needs manual confirm,"Founded 1840, SSE-listed (600305). hengshun@zjhengshun.com + 0511-85233758. No press desk found and no English-language media route. No.66 Hengshun Ave, Dantu New Town, Zhenjiang 212028. Note Zhenjiang has a Vinegar Industry Park with a museum - a likelier filming access point than corporate PR."
Maxim's / Mei-Xin,China,Mooncakes,maxims.com.hk,https://www.maxims.com.hk/en/brands/productsandgifting,No press contact found,,https://www.maxims.com.hk/en/brands/productsandgifting,Needs manual check,"No press or media contact surfaced. Maxim's Group is HK's largest bakery chain (170+ stores). CHRIS IS IN HONG KONG - corporate HQ visit or store-level ask for the marketing dept is more practical than email. Lower priority than Kee Wah and Wing Wah, which both have clearer routes."
Loc Troi Group,Vietnam,Rice,loctroi.vn,truyenthong@loctroi.vn,DEDICATED COMMS EMAIL,Am Nguyen Thi - press contact,https://pressroom.ifc.org/all/pages/PressDetail.aspx?ID=24867,Verified via IFC press release,"STRONG. 'truyen thong' is literally Vietnamese for COMMUNICATIONS - this is a real comms desk, not a guess. Named contact Am Nguyen Thi, (848) 3920 0783. Sourced from an IFC (World Bank) press release, a credible primary source. General: support@loctroi.vn. HQ 23 Ha Hoang Ho, My Xuyen Ward, An Giang. They export Vietnam Rice branded product to Europe - already engaged internationally."
Bibica,Vietnam,Snacks,bibica.com.vn,bibica@bibica.com.vn,General email,,https://en.bibica.com.vn/contact,Needs manual confirm,"bibica@bibica.com.vn + hotline +84396802832. Note some listed contacts are @pancg.vn (PAN Group, their parent) incl. linhntt@pancg.vn and rsm1.exp@pancg.vn - PAN Group corporate comms may be the better sponsorship route than the Bibica brand desk. English site at en.bibica.com.vn."
Phuc Long Coffee & Tea,Vietnam,Tea,phuclong.com.vn,phuclongusa@gmail.com,US franchise general email,,https://www.phuclongusa.com/shop/contact_us.php,Verified (US) / VN needs check,"US arm: Phuc Long Tea & Coffee USA, 12936 Main St, Garden Grove CA 92840, phuclongusa@gmail.com - a gmail, so likely a franchisee not corporate. VN HQ 2 Hai Trieu, HCMC, +84 2839153333, no press desk found. NOTE Phuc Long is corporately tied to MASAN (same group as CHIN-SU) - do not pitch as an independent sponsor; fold into the Masan approach."
Vinacafe Bien Hoa,Vietnam,Coffee,vinacafebienhoa.com,vinacafe@vinacafebienhoa.com,General email,,https://vinacafebienhoa.com/lien-he/?lang=en,Needs manual confirm,"MAJOR DEDUPE FLAG: their international trading address is export@msc.masangroup.com - Vinacafe is MASAN-OWNED. So Masan owns CHIN-SU + Phuc Long + Vinacafe. Chris must NOT pitch these as three independent sponsors; it is ONE relationship. General: vinacafe@vinacafebienhoa.com, +84 251 3836554, Bien Hoa Industrial Zone 1, Dong Nai."
Cholimex Food,Vietnam,Chili + Oyster Sauce,cholimexfood.com.vn,cholimexfood@cholimexfood.com.vn,General email,Nguyen Lam - Manager Export Marketing,https://cholimexfood.com.vn/contact-us/,Verified,"cholimexfood@cholimexfood.com.vn, Tel (+8428) 3765 3389/90/91, Hotline (+8428) 3765 5038 (also the International Business Dept line - best route for a foreign inquiry). Named contact Nguyen Lam, Manager Export Marketing - ask for them by name. Vinh Loc Industrial Park, HCMC."
Bich Chi Food,Vietnam,Noodles + Rice Paper,bichchi.com.vn,thaipham@bichchi.com.vn,Named general contact,Thai Pham,https://bichchi.com.vn/en/,Needs manual confirm,"thaipham@bichchi.com.vn (named individual - good sign) plus legacy bchi-bfc@hcm.vnn.vn. Tel 84 67 3770874. Sa Dec City, Dong Thap. Est. 1966, already exports to USA/Japan/Korea/France/UK - internationally fluent. Covers noodles AND rice paper in one pitch. Chris flagged wanting to film rice-paper production - this is the company to ask."
Wuliangye,China,Baijiu,wuliangye.com.cn / wuliangye.be,info@wuliangye.be,Europe office - Western-facing route,Zhangyuxia (press contact name),https://www.wuliangye.be/contact/,Needs manual confirm,"BEST ROUTE IS EUROPE not China: Wuliangye Europe c/o Kubo Supply nv, Mexicostraat 5, 2030 Antwerpen, Belgium, +32 (0)3 545 95 56, info@wuliangye.be / info@kubo.be. English-speaking and used to Western inquiries. A press contact name Zhangyuxia surfaced but with no readable address. They do global PR via Xinhua Silk Road and appeared at APEC 2025 - image-conscious and sponsorship-friendly."
White Rabbit / Bright Food,China,Snacks,brightfood.com,No press contact found,None found,,https://en.wikipedia.org/wiki/White_Rabbit_(candy),Verified - none published,"NO press or media contact published in English for Shanghai Guan Sheng Yuan or parent Bright Food Group. Iconic brand (since 1943) with heavy Western press interest (CNN feature) but no inbound media route. Would need a Shanghai-based fixer or an approach via Bright Food corporate. Great story, hard access - set expectations."
Weilong,China,Snacks,weilongshipin.com,9985-ecom@hk.tricorglobal.com,Share registrar only - NOT media,,https://www.alphaspread.com/security/hkex/9985/investor-relations,Verified - no media route,"HKEX-listed (9985). The ONLY published contact is their Hong Kong share registrar Tricor Investor Services, (852) 2980 1333 - that is an investor/shareholder desk, NOT press, and will not route a sponsorship pitch. No media contact exists publicly. Deprioritize."
Marui Wasabi Inc,Japan,Wasabi,n/a,(310) 537-0030,Phone only,,https://www.dnb.com/business-directory/company-profiles.marui_wasabi_inc.f339d8f3748f6713acd8b26a836f3dea.html,Verified - no email published,"No website and no published email. 13033 Arctic Circle, Santa Fe Springs CA 90670, (310) 537-0030. Directories confirm an email exists on file but it is not public. PHONE IS THE ONLY ROUTE. Small LA operation - Chris is in SoCal, a call or visit is entirely practical and probably better than email anyway."
Three Ladies Brand,Vietnam,Rice Paper,n/a - brand only,+1-562-802-2199 (C. Pacific Foods),US importer - not the manufacturer,,https://www.cpacificfoods.com/collections/three-ladies,Verified,"IMPORTANT: Three Ladies is a BRAND, not a company Chris can sponsor-pitch directly. It is imported/distributed in the US by C. Pacific Foods, +1-562-802-2199 (Southern California). Any sponsorship would run through the importer, who may not control brand marketing budget. Lower priority than Bich Chi, which is an actual manufacturer."
Gao Ong Cua (ST25),Vietnam,Rice,gaoongcua.vn / ongcuarice.com,0903.15.22.96,Phone only - founder direct,Ho Quang Cua / DNTN Ho Quang Tri,https://www.gaoongcua.vn/,Verified - no email published,"NO email published. But a great detail for the film: Ho Quang Cua PRINTS HIS PHONE NUMBER DIRECTLY ON EVERY PACKAGE to take consumer feedback himself - 0903.15.22.96. Brand is owned by Private Enterprise Ho Quang Tri. ST25 won World's Best Rice 2019. Vietnamese-language only - Chris will need a Vietnamese speaker to make this call, but it likely reaches the family directly."
Amoy Food,China,Soy + Oyster Sauce,amoy.com,info@amoy.com,General email,,https://www.amoy.com/en/contact-us,Needs manual confirm,"CAUTION: directories print it as info@WWW.amoy.com which is malformed - the real address is almost certainly info@amoy.com. Verify before sending. (852) 2665 6633, 11-15 Dai Fu St, Tai Po Industrial Estate, Tai Po NT, Hong Kong. CHRIS IS IN HONG KONG - Tai Po is reachable, a call beats email. Now under CITIC group."
Qianhe,China,Soy + Oyster + Vinegar,qianhefood.com,inquiry@qianhefood.com,General + named export contact,land.chen@qianhefood.com,https://en.qianhefood.com/about-us/,Needs manual confirm,"inquiry@qianhefood.com plus a NAMED contact land.chen@qianhefood.com (English-styled name = likely their export/international person, good sign). +86 2838568229, Meishan, Sichuan. English site at en.qianhefood.com. Covers soy + oyster + vinegar in one pitch. Known for zero-additive positioning - a clean story angle."
HABECO / Hanoi Beer,Vietnam,Alcohol/Beer,habeco.com.vn,habeco@habeco.com.vn,General email,,https://en.wikipedia.org/wiki/Habeco,Needs manual confirm,"habeco@habeco.com.vn, (84.24) 3845 3843, 183 Hoang Hoa Tham St, Ba Dinh, Hanoi. No press desk found. Pairs with SABECO for the North-vs-South beer story Chris wants - pitch both together as one narrative."
COFCO / China Tea (Zhongcha) / Fortune,China,Tea + Rice,cofco.com / chinatea.com.cn,cofco-news@cofco.com,DEDICATED MEDIA EMAIL,COFCO Media Contact,https://www.cofco.com/en/News/Media/ContactUs/,Verified,"VERIFIED dedicated media desk: cofco-news@cofco.com, tel 18601067788. COVERS TWO TARGETS AT ONCE - COFCO owns both China Tea/Zhongcha AND Fortune rice, so one email reaches both categories. Also a separate China Tea intl trading contact gongna@cofco.com, +86(10)85018130. COFCO Fortune Plaza, No.8 Chaoyangmen South Ave, Beijing. State-owned and image-conscious - realistic sponsor."
Khai Hoan Phu Quoc,Vietnam,Fish Sauce,khaihoanphuquoc.com.vn,contact@khaihoanphuquoc.com.vn,General email,,https://khaihoanphuquoc.com.vn/en/trang-chu/,Needs manual confirm,"contact@khaihoanphuquoc.com.vn, (0297)3995959, 289 30/4 St, Duong Dong, Phu Quoc, Kien Giang. English site available. KEY POINT FOR THE FILM: their factory is an established TOURIST ATTRACTION that already runs visitor tours - 900+ wooden fermentation barrels. Far easier filming access than a corporate PR route. Strong visual for the fish sauce chapter."
Vinatea,Vietnam,Tea,vinatea.com.vn,info@vinatea.com.vn,General email,,https://vinatea.com.vn/,Verified,"info@vinatea.com.vn, (84.24) 3622 6990, 92 Vo Thi Sau, Hai Ba Trung, Hanoi. State-linked national tea corporation. No press desk but a clean general address."
Shiyue Daotian,China,Rice,en.shiyuedaotian.com,SYDT123@shiyuedaotian.com,General email,,https://en.shiyuedaotian.com/ContactStd.html,Needs manual confirm,"SYDT123@shiyuedaotian.com, (400)0188975. HKEX-listed (9676). English site exists at en.shiyuedaotian.com which is a good sign for foreign inquiries. This is the Wuchang rice story Chris wanted - the strongest China rice target."
Bama Tea,China,Tea,bamatea.com / en.int-bamatea.com,https://en.int-bamatea.com/about_us,English site - no email surfaced,,https://en.int-bamatea.com/about_us,Needs manual check,"No email found. HKEX-listed (6980). 3002 Dongmen South Rd, Shenzhen. They DO maintain a dedicated English international site (en.int-bamatea.com) which implies an export/intl desk - check that site's contact page manually."
Takaokaya USA,Japan,Nori,takaokayausa.com,info@takaokayausa.com,General email,,https://www.takaokayausa.com/pages/contact,Verified,"info@takaokayausa.com, 323.269.9810, Vernon CA 90058. Real US entity with its own e-commerce site and H Mart distribution. SoCal-based - easy for Chris to reach or visit. Solid secondary nori target behind Yamamotoyama."
SAFOCO Foodstuff,Vietnam,Noodles + Rice Paper,safocofood.com,https://www.safocofood.com/,No email published,Ms. Hoa (directory contact),https://www.yellowpages.com.vn/listings/119319279/safoco-foodstuff-joint-stock-company.html,Needs manual check,"No verified email. Founded 1976, makes noodles, rice paper and rice vermicelli - covers two of Chris's categories. Directory names Ms. Hoa. Active exporter (597 shipments to 16 countries in 12 months). Check safocofood.com directly for a contact form."
Luzhou Laojiao,China,Baijiu,lzljglobal.com,48/F COSCO Tower Queens Rd Central Hong Kong,HK international office - no email found,,https://panjiva.com/Luzhou-Laojiao-International-Development/15430151,Needs manual check,"No email published. BUT their international arm Luzhou Laojiao International Development (HK) is at 48/F COSCO Tower, Queens Rd Central, HONG KONG - where Chris is right now. That HK office is the English-facing entity and a walk-in/call is far more practical than emailing Sichuan. Global site: lzljglobal.com."
A An / Tan Long Group,Vietnam,Rice,tanlonggroup.com.vn,info@tanlonggroup.com,General + international sales,,https://en.vietnordic.com/wp-content/uploads/2022/08/2022-PROFILE-TAN-LONG-English_compressed.pdf,Needs manual confirm,"info@tanlonggroup.com, +84 24 66688666, 14/F Diamond Flower Tower, 48 Le Van Luong, Hanoi. INTERNATIONAL SALES dept has a direct WhatsApp: +84 9.656.838.95 - best route for a foreign approach and Chris is in Asia. They publish an English company profile PDF, so they are set up for foreign partners. A An is their ST25 premium rice brand - the one that cleared Japan's import requirements."
