1	Masamoto Sohonten	Japanese Knives	masamoto-sohonten.co.jp	support@masamoto-sohonten.co.jp	General/business	https://www.masamoto-sohonten.co.jp/en/contact_us/	Verified on page	
2	Misono	Japanese Knives	misonoknives.us	contact@misonoknives.us	General	https://misonoknives.us/contact.html	Decoded from Cloudflare obfuscation, verified	
3	Sakai Takayuki	Japanese Knives	sakaitakayukiknives.com	(email cannot receive mail - see note)	Website only - NO WORKING EMAIL	https://sakaitakayukiknives.com/contact	CAUTION: info@sakaitakayukiknives.com IS PRINTED on their own contact page, but the domain sakaitakayukiknives.com has NO MX RECORD (confirmed across 3 independent DNS resolvers) - mail sent to it will bounce even though the address looks legitimate. This is a real trap: always MX-check even an on-page address. Real, live website confirmed (Cloudflare-hosted). Recommend using their contact FORM instead of the printed email, or reaching out via a listed retailer.	
4	Yoshihiro	Japanese Knives	echefknife.com	info@echefknife.com	General (US showroom, Yoshihiro Cutlery)	https://www.echefknife.com/pages/contact-us	Verified on page; sheet had info@yoshiiroknife.com (misspelled, dead domain)	
5	Shun (KAI USA)	Japanese Knives	kaiusa.com / shun.kaiusa.com	(no email published)	Phone/social only	https://shun.kaiusa.com/contact-us	Verified: NO email on either kaiusa.com or shun.kaiusa.com contact pages. Phone 503-682-1966 / 800-325-2891. Social: facebook.com/shuncutlery, instagram.com/shuncutlery	
12	Tamanishiki	Premium Japanese Rice	jfc.com (brand owner)	(no email published)	Form/phone only	https://www.jfc.com/contact	VERIFIED FAKE SITE FLAGGED: sheet's tamanishikirice.com uses placeholder "555" phone and "1234 Rice Field Lane" fake address - not the real company. Tamanishiki is actually a JFC International brand. JFC publishes no email, form + phone +1 323-721-6100. Social: facebook.com/JFCInternational, instagram.com/jfcinternational	
13	Tamaki Gold	Premium Japanese Rice	tamakimai.com	info@tamakimai.com	General	https://www.tamakimai.com/	Verified on page. Williams, CA grower/packer. Sales agent Icrest International also lists info@icrest-llc.com	
14	Shirakiku	Premium Japanese Rice	wismettacusa.com (brand owner)	(no email published)	Form/phone/social only	https://wismettacusa.com/contact-us/	Verified: Shirakiku is a Wismettac Asian Foods brand. No email on Wismettac's contact page - web form only. Dedicated brand social: instagram.com/shirakikubrand. Parent: facebook.com/wismettacsake, linkedin.com/company/wismettac-asian-foods	
19	Sekka	Premium Japanese Rice	jfc.com (brand owner)	(no email published)	Form/phone only	https://www.jfc.com/contact	Verified: Sekka is a JFC International brand (same as Tamanishiki). No email published, form + phone +1 323-721-6100. Note: sheet's sekkarice.com does not exist.	
54	Yamachiku	Luxury Chopsticks	hashi.co.jp	(no email published)	Form only	https://hashi.co.jp/contact/	Real domain located via Japanese-language search: hashi.co.jp (sheet's yamachiku.jp does not exist). Kumamoto bamboo chopstick maker. Contact page exists but no email visible in fetched content.
55	Miyabi Urushi (Kogei)	Luxury Chopsticks	(no official site found)	(none found)	Retailer-only	https://musubikiln.com/collections/miyabi-urushi-kogei	GENUINELY NO DISCOVERABLE OFFICIAL WEBSITE for this Nagano/Kiso woodworking maker, in English or Japanese search. Only retailer/reseller pages exist (Musubi Kiln, Globalkitchen Japan, Nihon Ichiban). Sheet's miyabi-japan.co.jp does not exist. Recommend approaching via a US retailer that carries the line, or dropping this target - it may not be a distinct company reachable directly.
59	Sunlife	Luxury Chopsticks	ohashi-sunlife.com	(no email/phone published)	Address only	https://ohashi-sunlife.com/eng/company/	Real domain ohashi-sunlife.com (sheet's sunlife-inc.co.jp does not exist). Company profile page has only physical addresses (HQ + Tokyo design studio), no email or phone found anywhere on the English site.
61	Yamaroku Shoyu	Premium Soy Sauce	yama-roku.net	(no email published)	Phone only	https://yama-roku.net/en/access	Verified: real domain yama-roku.net (sheet's yamaroku4.com does not exist). Shodoshima Island, Kagawa. Phone 0879-82-0666 only, no email or form found.
68	Yugeta	Premium Soy Sauce	yugeta.com	(no email published)	Form only	https://yugeta.com/contact/	IMPORTANT: yugeta-soy-sauce.com (which looks official) displays "info@mysite.com" - an UNEDITED WIX TEMPLATE PLACEHOLDER, not a real address. Do not use it. The real site is yugeta.com; its contact page is a form only, no email visible. Sheet's yugeta-shoyu.com does not exist.
69	Suehiro Shoyu	Premium Soy Sauce	suehiro-s.co.jp	info@suehiro-s.co.jp	General	https://www.suehiro-s.co.jp/	Verified on page. Tatsuno City, Hyogo - usukuchi (light) soy sauce since 1879. Sheet's suehiro-shoyu.com does not exist.
70	Inoue Jozo	Premium Soy Sauce	COMPANY IDENTITY UNCLEAR	(unresolved)	Needs Chris to confirm	n/a	FLAG FOR CHRIS: could not confirm what specific company "Inoue Jozo" refers to. There is an Inoue Shoyu in Okuizumo, Shimane (inoue-shoyu-shop.com) - different region than the Yuasa/Wakayama "birthplace of soy sauce" story this category implies. There is a separate Yuasa Shoyu (yuasasyouyu.co.jp) and a Marushinhonke (yuasa-marushin.net) actually based in Yuasa. Sheet's inouejozo.co.jp does not exist. Need the source Chris used to identify which company was intended before I can verify a real contact.
73	Pacific Coast Wasabi	Fresh Wasabi	wasabia.com	info@wasabia.com	General	https://wasabia.com/about/	Verified (decoded from Cloudflare obfuscation). Operating name is Wasabi Essentials Ltd / brand Pacific Coast Wasabi, Vancouver BC. Sheet's pacificcoastwasabi.com does not exist.
74	Half Moon Bay Wasabi	Fresh Wasabi	hmbwasabi.com	(no email published)	Phone + form	https://hmbwasabi.com/pages/contact	Verified: real domain confirmed (matches sheet). No email on the contact page - form + phone +1 415 205 5797 only.
75	Daio Wasabi Farm	Fresh Wasabi	daiowasabi.co.jp	koho@daiowasabi.jp	PR/media (koho = "public relations" in Japanese)	https://www.daiowasabi.co.jp/	Verified on page - THREE addresses found: kanko@ (tourism), koho@ (PR/media - use this one), webshop@ (online store). Note the live domain is daiowasabi.CO.JP not .jp as in some listings - both may work but co.jp confirmed. Sheet's daio-wasabi.co.jp does not exist (missing the dash placement).
76	Utogi Wasabi	Fresh Wasabi	COMPANY IDENTITY UNCLEAR	(unresolved)	Needs Chris to confirm	n/a	FLAG FOR CHRIS: "Utogi" is a REGION in Shizuoka City known as the birthplace of wasabi cultivation, not a company name. The only business found there is Utsurogi, a restaurant/souvenir shop (054-298-2900), not obviously a wasabi producer/exporter. Sheet's utogi-wasabi.jp does not exist. This looks like the same naming-fabrication pattern as Inoue Jozo (#70) - a real place name turned into a fake company name. Need clarification on what company was actually intended.
86	Nico Nico Nori	Premium Nori	niconico-nori.co.jp	(no email published)	Phone + form	https://www.niconico-nori.co.jp/contact	Real domain found: niconico-nori.CO.JP (sheet's niconico-nori.com does not exist - wrong TLD). Osaka nori maker. Phone 0120-253-111, form only, no email visible.
89	Hagoromo	Premium Nori	hagoromofoods.co.jp	(no email published)	Form only	https://www.hagoromofoods.co.jp/contact/	Verified: real domain confirmed. Shizuoka-based (also known for Sea Chicken tuna brand). Form only, no email visible on corporate site. Sheet's hagoromo-foods.co.jp is a near-miss (extra hyphen) that does not resolve.
94	Tajima Vinegar	Sushi Vinegar	tajimajozo.co.jp	(no email published)	Form only	https://tajimajozo.co.jp/en/contact_us/	Real company located: "Tajima Jozosho" (但馬醸造所), part of Hinode Holdings. Real domain tajimajozo.co.jp (sheet's tajima-su.co.jp does not exist). Phone 079-669-1100, form only, no email visible.
95	Sennari	Sushi Vinegar	sennari-oochi.com	(no email published)	Phone + form	https://sennari-oochi.com/en/pages/contact	Real domain sennari-oochi.com (sheet's sennari.jp has no MX, cannot receive mail). Hiroshima-based since 1927. Phone +81-82-810-300, form only, no email visible.
98	Kakuida	Sushi Vinegar	essan.com	info@essan.com	General	https://www.essan.com/about	Verified on page. Kakuida is a black vinegar brand; essan.com appears to be its English-facing sales site (Odawara, Kanagawa producer Chinriu Honten reported separately but not confirmed on this page - using what's verified). Sheet's kakuida.co.jp does not exist.
99	Naogen	Sushi Vinegar	naogen.co.jp	(no email published)	Form only	https://www.naogen.co.jp/information/	CATEGORY ERROR IN SHEET: Naogen (直源) is a SOY SAUCE company in Kanazawa, Ishikawa - not a vinegar producer at all. It was miscategorized under "Sushi Vinegar." Real domain naogen.co.jp (sheet's naogen.jp does not exist). Form only, no email found. Flag for Chris: this may need to move to the soy sauce list, or be replaced with an actual vinegar maker.
100	Kono Vinegar	Sushi Vinegar	kohno-honten.co.jp	(no email published)	Phone + form	https://kohno-honten.co.jp/2018/en-welcome/	Real domain kohno-honten.co.jp (sheet's kono-su.co.jp does not exist). NOTE: located in Maniwa, OKAYAMA prefecture, not Wakayama as sheet implies. Phone 0867-42-0102, form only, no email found.
106	Horii Shichimeien	Premium Japanese Tea	horiishichimeien.com	(no email published)	Form only	https://horiishichimeien.com/en/pages/company	Real domain confirmed (sheet's horii-shichimeien.co.jp does not exist). Uji, Kyoto matcha maker since 1832. Form only, no email visible.
109	Nakamura Tokichi	Premium Japanese Tea	global.tokichi.jp	(no email published)	Form only	https://global.tokichi.jp/pages/contact	Real domain global.tokichi.jp / tokichi.jp (sheet's nakamura-tokichi.com does not exist). Uji, Kyoto. Two separate contact forms (online store vs. main store), no email visible on either.
110	Hoshino Seichaen	Premium Japanese Tea	hoshino-cha.com	info@hoshinocha.com	General	https://www.hoshino-cha.com/contact-us/	Verified on page. Yame, Fukuoka gyokuro/matcha producer. NOTE the email domain (hoshinocha.com, no hyphen) differs slightly from the website domain (hoshino-cha.com, with hyphen) - both appear to be controlled by the same company. Sheet's hoshino-seichaen.co.jp does not exist.
21	Dassai (Asahi Shuzo)	Premium Sake	dassai.com / dassai-blue.com	press@dassai.com	Press (reported by multiple sources)	https://dassai-blue.com/pages/contact	From Aug research: press@dassai.com reported across multiple independent sources incl. an EIN Presswire release; site itself rate-limits automated verification. Sheet's info@dassai.us has NO MX record - guaranteed bounce, do not use. Sister addresses: sales@dassai.com, info@dassai.com. US entity: DASSAI USA INC, Hyde Park NY.
23	Hakkaisan	Premium Sake	hakkaisan.com	press@hakkaisan.co.jp	Press + named English-language PR staff	https://www.hakkaisan.com/	From Aug research: press@hakkaisan.co.jp confirmed, plus named contacts Shinsuke Sasagawa / Shoko Baba (International Marketing, handle English inquiries). Sheet's info@hakkaisan.com is unverified/likely wrong department.
29	Gekkeikan	Premium Sake	us.gekkeikan.com	(no email published)	Phone + social	https://us.gekkeikan.com/contact/	Sheet's gekkeikanusa.com does NOT EXIST. Real US site is us.gekkeikan.com, publishes no email - phone +1 (916) 293-7040 only. Social: instagram.com/gekkeikansake_usa. Sheet's info@gekkeikan.com is unverified.
31	Suntory (Beam Suntory)	Japanese Whisky	suntory.com	(no email published - use media page)	Media contact page (blocks automation)	https://www.suntory.com/newsroom/mediacontact/	Sheet's press@beamsuntory.com is NOT published anywhere I could verify. Real dedicated media page exists at suntory.com/newsroom/mediacontact but blocks all automated access (403) - a human needs to open it in a browser. Social: facebook.com/BeamSuntory, instagram.com/beamsuntory.
32	Nikka Whisky	Japanese Whisky	nikka.com	(no email published)	Corporate inquiry form + social	https://www.asahigroup-holdings.com/en/customer/	Sheet's nikkawhisky-usa.com does NOT EXIST. Nikka (part of Asahi Group) publishes no email; route via Asahi Group Holdings customer form. Social: instagram.com/nikkawhiskyglobal.
62	Kikkoman	Premium Soy Sauce	kikkomanusa.com	(no email published - use form)	Web form only	https://kikkomanusa.com/contact-us/	CRITICAL: sheet's pr@kikkoman.com IS FABRICATED - confirmed in Aug research to exist nowhere on any Kikkoman property. Their US site has NO email at all, form only. Phone (415) 956-7750. Social: facebook.com/kikkomanusa, instagram.com/kikkomanusa. DO NOT use pr@kikkoman.com under any circumstances.
63	Yamasa	Premium Soy Sauce	yamasausa.com	(no email published)	Phone + social	https://www.yamasausa.com/contact	CRITICAL: sheet's yamasa.org is a JAPANESE LANGUAGE SCHOOL, completely unrelated to the soy sauce company. Real site is yamasausa.com (Salem, OR brewery), publishes no email - phone (503) 363-8550. Social: facebook.com/yamasaUSAsoysauce, instagram.com/yamasausa.
71	Kinjirushi	Fresh Wasabi	kinjirushiusa.com	(no email published)	Phone + social	https://www.kinjirushiusa.com/contact-us/	Sheet's kinjirushi.com does NOT EXIST. Real US site kinjirushiusa.com (Torrance, CA), publishes no email - phone (310) 214-0441. Social: facebook.com/kinjirushiusa, instagram.com/kinjirushiwasabi.
81	Yamamoto Nori	Premium Nori	yamamotoyama.com	info@yamamotoyama.com	General	https://yamamotoyama.com/pages/contact	Sheet's yamamoto-nori.co.jp does NOT EXIST and appears to conflate a generic name with Yamamotoyama, the actual major US nori/tea importer. Verified info@yamamotoyama.com on their real contact page. Pomona, CA. (800) 800-8327.
87	Yamamotoyama	Premium Nori	yamamotoyama.com	info@yamamotoyama.com	General	https://yamamotoyama.com/pages/contact	Sheet's yamamotoyama-usa.com does NOT EXIST. Real domain is yamamotoyama.com, info@ verified on page. NOTE: row 105 (Premium Japanese Tea) is the SAME COMPANY - one pitch covers both categories.
91	Mizkan	Sushi Vinegar	mizkan.com	Communications@mizkan.com	Dedicated PR & Media Relations	https://www.mizkan.com/contact/pr-media-relations/	CRITICAL CORRECTION: sheet's press@mizkan.com is NOT the real address - it is not published anywhere on Mizkan's site. The REAL dedicated PR & Media Relations page publishes Communications@mizkan.com. This is one of the strongest hits on the whole list - use it, not what the sheet has.
93	Marukan	Sushi Vinegar	marukan-usa.com	(no email published)	Web form + social	https://www.marukan-usa.com/contact/	Sheet's info@marukan-usa.com is NOT published anywhere on the real site - Marukan publishes no email at all, form only. Phone 562-630-6060. Social: facebook.com/MarukanVinegar. Paramount, CA and Griffin, GA breweries.
97	Mizkan Zenmi	Sushi Vinegar	mizkan.com	Communications@mizkan.com	Dedicated PR & Media Relations	https://www.mizkan.com/contact/pr-media-relations/	DUPLICATE: this is the SAME COMPANY as row 91 (Mizkan) under a different product-line name. Same correction applies: Communications@mizkan.com, not press@mizkan.com. Do not pitch as two separate sponsors.
105	Yamamotoyama	Premium Japanese Tea	yamamotoyama.com	info@yamamotoyama.com	General	https://yamamotoyama.com/pages/contact	DUPLICATE: same company as row 87 (Premium Nori) - Yamamotoyama covers both nori and tea. One pitch, not two. Sheet's yamamotoyama-usa.com does not exist.
107	Ito En	Premium Japanese Tea	itoen.com	customerservice@itoen.com	General	https://itoen.com/pages/contact-us	Sheet's marketing@itoen.com is not published anywhere I could verify. The real, verified address on their contact page is customerservice@itoen.com. Phone 888-832-7832, Irving TX.
